listing_id,last_365_review_count
2515,14
2539,2
2595,13
3330,9
3831,68
4484,3
5022,3
5099,3
5121,1
5172,18
5178,45
5216,1
5238,7
5295,5
5441,30
5803,18
5945,3
6021,1
6090,6
6848,21
6990,15
7097,31
7241,1
7322,37
7726,8
7970,3
8024,20
8025,4
8110,13
8225,22
8343,3
8477,3
8490,19
8505,3
9657,2
9668,8
9704,26
9782,12
9896,4
10452,1
10962,15
11708,36
12048,20
12192,15
12299,2
12318,6
12343,2
12627,5
12937,36
12940,6
13076,3
13121,3
13394,12
13552,46
13808,26
14287,11
14290,21
14314,38
14322,6
14377,17
14708,2
15220,51
15338,12
15341,6
15385,9
16326,23
16338,1
16421,1
16458,1
16580,73
16595,20
16821,29
16974,19
17092,2
17226,5
17297,10
17298,8
17299,3
17693,18
17747,22
18127,1
18195,3
18198,1
18590,17
18728,21
18764,2
19159,3
19169,6
19282,3
19319,5
19812,9
20299,21
20611,13
20724,1
20734,43
20755,2
20913,6
21293,22
21456,21
21530,11
21794,1
22918,1
23135,27
23545,27
23686,13
24143,34
24261,6
24266,6
24269,6
24281,11
24285,20
25235,13
25406,2
25696,27
26362,40
26520,3
26540,1
26559,1
26785,64
26969,44
27006,7
27024,65
27385,15
27531,38
27644,28
27659,5
28321,4
29013,3
29414,11
29455,23
29594,1
29628,26
30031,31
30222,25
30970,32
31130,8
31555,5
31994,41
32023,29
32037,9
32289,2
32965,16
32969,1
33009,26
33223,24
34760,14
35526,18
36133,15
36442,1
36703,1
36934,5
38638,5
38663,2
38780,10
38833,13
39267,26
39282,21
39572,12
39704,12
40884,1
41348,16
41386,4
42580,41
42729,25
42882,12
43957,11
44096,34
44212,19
44221,13
44229,28
44288,3
44506,33
45556,37
45689,37
45936,20
45940,14
46544,2
46723,7
46911,4
47199,32
48719,23
49715,8
50174,33
50447,19
51485,42
51510,37
51572,73
51850,1
51852,2
52757,6
53196,8
53630,20
54158,59
54508,8
54544,16
54626,33
54694,3
54860,35
55320,13
55467,49
55565,40
55668,6
55737,21
55959,18
55982,16
56467,57
56475,2
56859,23
57161,28
57166,4
57297,30
57468,28
57618,19
57754,11
57874,46
58059,56
58062,5
58101,47
58467,4
59014,7
59709,2
59818,4
60084,2
60164,17
60611,3
60666,28
60680,32
60948,23
61492,18
61509,3
62095,30
62427,4
62430,20
62452,23
62461,29
62465,2
62468,1
62680,2
62787,15
62903,7
62925,9
63003,23
63154,7
63299,36
63320,35
63360,67
63373,5
63546,3
63610,16
63657,16
63719,3
64000,2
64107,31
64277,1
64365,34
64837,19
65019,50
65213,1
65268,6
65615,7
65660,22
65813,3
66008,8
66026,1
66251,19
66275,29
66340,37
66718,27
66741,45
66974,15
67288,4
67299,8
67397,6
68099,4
68403,18
68765,38
68974,22
69894,5
69921,5
70095,23
70128,6
70279,11
70609,7
71010,10
71366,1
71507,14
71812,1
72190,4
72265,3
73586,15
74073,11
74240,1
74680,51
74821,1
75193,35
75635,43
76761,56
77765,3
79067,3
79782,17
