date,DLA_open,DLA_close,DLA_volume,JPM_open,JPM_close,JPM_volume,GOOG_open,GOOG_close,GOOG_volume,TSLA_open,TSLA_close,TSLA_volume
1/2/08,7.14,7.1,11300,43.549999,42.169998,22122300,344.19632,340.381134,8669700,,,
1/3/08,7.18,7,26200,42.34,41.880001,17150700,340.415924,340.450684,6547200,,,
1/4/08,7.13,6.84,31800,41.41,40.93,25873800,337.648926,326.377228,10789200,,,
1/7/08,6.75,6.76,13700,41.099998,41.34,25644100,324.857117,322.527283,1.29E+07,,,
1/8/08,6.76,6.77,4200,41.459999,39.700001,3.36E+07,324.390167,313.799042,10747500,,,
1/9/08,6.75,6.77,1600,39.59,40.259998,33546300,312.984344,324.489502,13566900,,,
1/10/08,6.76,6.76,6300,39.77,41.330002,41863600,320.420959,321.275421,12750700,,,
1/11/08,6.76,6.78,6400,40.880001,40.860001,37520500,319.273438,317.062805,10018600,,,
1/14/08,6.78,6.79,2800,41.27,41.360001,2.28E+07,323.466156,324.797516,8952700,,,
1/15/08,7.58,7.26,18100,40.73,39.169998,4.52E+07,320.863098,316.76474,11208800,,,
1/16/08,7.31,7,11400,40.459999,41.43,63183100,312.452789,305.984863,21257300,,,
1/17/08,6.82,6.73,4100,41.57,40.040001,39647200,308.374329,298.453857,16540400,,,
1/18/08,6.9,6.88,9600,40.240002,39.59,51919100,302.214386,298.185577,17190200,,,
1/22/08,6.26,6.8,8.00E+03,37.66,40.860001,57178600,279.199066,290.286957,19126600,,,
1/23/08,6.7,6.87,10600,40.400002,45.720001,7.71E+07,278.543335,272.537415,3.42E+07,,,
1/24/08,6.91,7.12,3200,45.830002,44.959999,52062600,277.594513,285.388824,1.89E+07,,,
1/25/08,6.49,8.18,35700,45.669998,43.639999,38410900,293.992859,281.369965,14022500,,,
1/28/08,8.02,8.5,29500,43.790001,45.57,29739100,283.640198,276.193634,1.17E+07,,,
1/29/08,8.58,9.04,12800,45.939999,47.450001,56112700,278.424133,273.481262,12647600,,,
1/30/08,9.15,9.05,21400,47.099998,47.349998,68343800,272.820557,272.363525,15982400,,,
1/31/08,8.95,8.93,5900,46.41,47.400002,55500600,267.763458,280.326752,2.99E+07,,,
2/1/08,8.9,8.9,1400,47.259998,48.25,48834500,262.626862,256.283112,35429900,,,
2/4/08,8.86,8.65,3300,47.830002,46.220001,28310200,252.890198,246.114258,26485300,,,
2/5/08,8.75,8.52,22400,45.049999,43.889999,39045100,243.133652,251.762527,22552200,,,
2/6/08,8.51,8.5,6600,44.27,43.720001,27274800,253.918503,249.233978,1.54E+07,,,
2/7/08,8.6,8.36,8200,43.389999,45.110001,3.68E+07,246.824646,250.843506,15960800,,,
2/8/08,8.41,8.3,1700,44.959999,43.82,26058300,253.059097,256.675568,13746500,,,
2/11/08,8.31,8.25,6700,43.889999,43.349998,2.59E+07,258.578186,258.896118,11727700,,,
2/12/08,8.25,8.25,5200,43.66,43.310001,27193400,260.003937,257.371063,13411200,,,
2/13/08,8.27,8.25,22400,43.549999,44.099998,26533400,259.561798,265.582642,13335500,,,
2/14/08,8.26,8.27,10400,44.049999,42.610001,3.12E+07,267.435577,264.405304,13037500,,,
2/15/08,8.1,8.2,10800,42.41,43.25,29031400,262.448029,263.108734,10548300,,,
2/19/08,8.25,8.26,3800,43.540001,42.830002,25811900,265.741608,252.830582,12783400,,,
2/20/08,8.3,8.31,1600,42.369999,43.150002,30149700,250.128159,252.855423,1.34E+07,,,
2/21/08,8.35,8.35,300,43.139999,43.07,32878200,254.767975,249.805252,11429400,,,
2/22/08,8.4,8.55,3400,43.060001,43.93,30452700,249.407837,252.259293,11103500,,,
2/25/08,8.54,8.66,4200,43.43,44.029999,27917200,251.340271,241.648315,16854400,,,
2/26/08,8.69,8.88,18600,43.73,43.720001,24989300,229.109863,230.5952,46877300,,,
2/27/08,8.95,9.15,1500,43.07,44.41,3.86E+07,228.578323,234.902191,20375400,,,
2/28/08,8.91,8.82,1400,44,42.439999,36606500,233.729813,236.159012,13259400,,,
2/29/08,8.95,8.87,1.00E+03,41.880001,40.650002,36856600,234.410385,234.067612,18973300,,,
3/3/08,8.88,8.71,4800,40.549999,39.82,31481900,234.231552,227.033371,15207200,,,
3/4/08,8.69,8.55,6500,39.369999,39.189999,56449300,224.017975,220.863495,27420500,,,
3/5/08,8.6,8.78,15200,39.360001,38.740002,36325600,221.186401,222.403473,14969800,,,
3/6/08,8.7,8.46,2400,38.18,37.369999,44356900,222.398514,214.95195,15037300,,,
3/7/08,8.53,8.31,1400,36.889999,37.560001,43258700,213.054291,215.274841,16248500,,,
3/10/08,8.55,8.5,18800,37.73,36.48,41281300,213.029449,205.473587,1.61E+07,,,
3/11/08,8.4,8.4,2100,38.48,38.84,58401200,211.255981,218.498871,17768500,,,
3/12/08,8.3,8.25,4.00E+03,38.849998,38.610001,44572400,218.583328,218.66777,13390300,,,
3/13/08,8.29,8.3,2200,37.84,38.110001,45537900,214.937042,220.073639,15553600,,,
3/14/08,8.2,8.07,800,38.799999,36.540001,7.78E+07,220.058731,217.545074,13234200,,,
3/17/08,8.17,8.1,600,37,40.310001,125296300,212.612167,208.5784,15878900,,,
3/18/08,8,8.02,300,42.189999,42.709999,76994300,213.103958,218.161072,14568400,,,
3/19/08,7.93,7.91,3200,43.259998,42.470001,70593300,219.129776,214.604202,12438300,,,
3/20/08,7.88,7.3,6600,42.91,45.970001,72777200,212.279327,215.374191,19955600,,,
3/24/08,7.5,6.99,39800,45.419998,46.549999,66011200,217.798431,228.791931,13614900,,,
3/25/08,6.85,6.5,21500,46.02,46.060001,54485500,227.251938,223.933533,11738900,,,
3/26/08,6.47,6.3,16900,45.27,44.110001,41122700,224.832687,227.614594,10519300,,,
3/27/08,6.4,6.2,1.30E+04,44.220001,42.860001,32154500,221.558975,220.605179,11740100,,,
3/28/08,6.1,6.04,5900,43.200001,42.709999,29011900,222.284256,217.624557,8809200,,,
3/31/08,6,6.04,9200,42.709999,42.950001,28920400,216.412445,218.811844,8950500,,,
4/1/08,6.1,6.8,10900,45.130001,47,54562600,222.423355,231.350296,12265300,,,
4/2/08,6.66,6.87,6900,47.080002,46.240002,36597900,233.431747,231.345322,12075900,,,
4/3/08,6.87,7.45,7300,45.369999,46.279999,30314400,229.373154,226.089508,13644900,,,
4/4/08,7.37,7.35,1900,45.849998,45.57,29875900,227.028397,234.022903,1.19E+07,,,
4/7/08,7.45,7.4,600,46.43,45.540001,24069200,236.973709,236.8694,11964200,,,
4/8/08,7.17,7.26,3300,45.240002,44.860001,29187700,234.991608,232.393509,9.15E+06,,,
4/9/08,7.3,7.45,2800,45.18,44.299999,28476400,233.04924,230.5952,12174700,,,
4/10/08,6.85,7.01,11500,44.200001,43.860001,30230100,230.977707,233.024399,10210700,,,
4/11/08,6.75,5,150300,43.32,42.529999,41959900,230.535583,227.246979,8393600,,,
4/14/08,5.11,4.8,31700,42.400002,41.5,33774900,227.102921,224.370682,7735100,,,
4/15/08,4.8,4.65,6.70E+04,42.18,42.119999,37271800,227.584778,221.976257,9214600,,,
4/16/08,4.75,4.6,39900,43.529999,44.959999,52568400,220.764145,226.0448,15360600,,,
4/17/08,4.51,4.41,10400,44.34,45.119999,30302500,226.342865,223.317535,26879600,,,
4/18/08,4.37,4.43,20700,46.330002,45.759998,31398100,265.875732,267.962158,36708300,,,
4/21/08,4.49,4.3,5300,45.290001,45.23,23513400,267.95224,267.15741,1.50E+07,,,
4/22/08,4.34,3.91,18600,44.959999,45.650002,23703800,267.048096,275.706787,15980200,,,
4/23/08,3.99,3.6,16600,45.41,45.150002,23260300,277.167297,271.479279,9906900,,,
4/24/08,3.64,3.95,23100,45.369999,46.970001,37769300,273.86377,269.765442,8323900,,,
4/25/08,4.07,4.06,8300,47.290001,47.790001,24266600,272.736115,270.272125,8382900,,,
4/28/08,4.25,4.15,5900,47.669998,47.34,2.72E+07,271.17627,274.276093,8069300,,,
4/29/08,4.39,4.34,7900,47.34,47.080002,20738700,273.635254,277.430573,8748400,,,
4/30/08,4.35,4.4,12100,47.25,47.650002,36280800,279.288483,285.289459,15908800,,,
5/1/08,4.3,4.36,7800,47.68,49.25,31723700,287.286469,294.623749,13291400,,,
5/2/08,4.64,4.46,1600,49.900002,48.66,27942900,297.311279,288.766846,14088500,,,
5/5/08,4.47,4.45,11500,48.32,48,19276100,297.495087,295.527863,12643600,,,
5/6/08,4.46,4.45,2500,47.34,48.200001,25441400,293.590485,291.285461,9318700,,,
5/7/08,4.4,4.06,9300,48.220001,46.57,27636400,293.227844,287.629242,13311900,,,
5/8/08,4.06,4.02,22200,46.98,46.049999,2.61E+07,291.205994,289.621307,10312300,,,
5/9/08,4.01,3.9,43400,45.75,46.57,21730400,287.629242,284.747986,9.03E+06,,,
5/12/08,4,3.94,16900,46.82,47.240002,20295600,285.517975,290.580048,9.79E+06,,,
5/13/08,3.98,3.91,13600,47.040001,45.48,27485300,291.220886,289.616333,10394100,,,
5/14/08,3.94,3.78,10100,46,45.91,24138200,291.350037,286.287964,8808400,,,
5/15/08,3.82,3.66,7900,46.049999,47.02,27289500,287.629242,288.622772,8741700,,,
5/16/08,3.6,3.65,13800,47.32,46.529999,20871400,288.836395,288.160797,8603700,,,
5/19/08,3.65,3.65,6800,46.549999,45.990002,19402200,287.405701,286.894043,11281900,,,
5/20/08,3.65,3.56,22200,45.66,43.700001,48996100,285.458374,287.430542,6670300,,,
5/21/08,3.51,3.51,2.00E+03,43.799999,42.419998,40611900,287.390808,273.217987,13020200,,,
5/22/08,3.5,3.36,6700,42.400002,43.049999,28883300,274.19165,272.954681,10218600,,,
5/23/08,3.31,3.02,55800,42.720001,42.32,21440900,271.712769,270.550323,8920500,,,
5/27/08,3.01,3.02,18900,42.400002,43.009998,28457800,270.719238,278.637726,7781200,,,
5/28/08,3,2.95,82200,43.389999,42.860001,31688700,282.134979,282.284027,8153400,,,
5/29/08,2.91,2.95,42900,42.689999,43.57,2.28E+07,285.537842,289.616333,9752900,,,
5/30/08,3.02,2.97,1.00E+04,43.959999,43,21391600,289.849792,291.007263,6492300,,,
6/2/08,3.08,3.02,16700,42.630001,42.150002,30620500,289.36795,285.642181,7396100,,,
6/3/08,3.05,3.04,15200,42.529999,41.889999,28503100,286.387329,281.817047,8666500,,,
6/4/08,3,2.99,34100,41.740002,41.630001,30800100,280.838409,284.261169,6.77E+06,,,
6/5/08,2.99,2.94,2.60E+04,41.900002,42.099998,27755300,286.675446,291.255676,7884300,,,
6/6/08,2.9,2.9,11100,41.790001,40.09,39887900,288.001831,281.66803,9530500,,,
6/9/08,2.85,2.66,89300,40.32,37.509998,74856700,282.194611,277.132507,10645200,,,
6/10/08,2.74,2.09,55900,37.23,38.290001,54412400,273.004364,275.294464,7362400,,,
6/11/08,2.15,2.29,71500,38.5,37.130001,50965800,276.322784,270.83847,7675300,,,
6/12/08,2.5,2.85,77800,37.709999,38.009998,53247700,272.606964,274.688416,11054500,,,
6/13/08,2.89,3.3,62100,38.389999,39.580002,40465600,278.930817,283.908447,12449100,,,
6/16/08,3.59,3.4,22500,39.48,39.939999,34860200,281.419647,284.55426,7131500,,,
6/17/08,3.49,3.72,31100,40.360001,39.040001,32510200,286.312805,282.890076,6970800,,,
6/18/08,3.6,4.25,44900,38.529999,38.740002,35513700,280.431061,279.372955,6806200,,,
6/19/08,4.75,4.51,53600,38.790001,38.650002,59944400,275.880676,278.289978,1.14E+07,,,
6/20/08,4.57,3.96,49800,37.689999,37.860001,55374100,276.690399,271.449493,12043900,,,
6/23/08,4.31,3.51,52200,37.990002,36.869999,37741100,270.917938,270.843414,7318900,,,
6/24/08,3.55,3.7,32100,36.810001,37.720001,43526200,270.808655,269.397827,9405900,,,
6/25/08,3.75,3.94,25900,37.939999,37.91,42317900,270.724213,273.719727,8297900,,,
6/26/08,3.95,3.7,14900,37.16,36.32,45708400,270.292023,262.701385,11392600,,,
6/27/08,3.66,3.7,9600,36.450001,35.049999,69316700,262.135071,262.328796,10965700,,,
6/30/08,3.64,3.65,7400,34.860001,34.310001,50792600,264.514587,261.509125,7579500,,,
7/1/08,3.7,3.75,1100,33.689999,34.02,74620100,258.111237,265.637299,9984200,,,
7/2/08,3.75,3.85,4100,34.360001,34.599998,51750200,266.521545,261.817139,8500900,,,
7/3/08,4,4,2.00E+03,35.119999,35.310001,33028500,263.724731,266.764954,4832100,,,
7/7/08,3.95,4.25,7700,35.5,34.040001,48883600,269.397827,270.197632,8565700,,,
7/8/08,4.31,4.31,4500,34.299999,35.77,62285100,271.230896,275.473297,9928900,,,
7/9/08,4.35,4.36,5300,35.740002,34.279999,5.10E+07,273.600494,269.025238,8.36E+06,,,
7/10/08,4.27,4.57,42400,34,34.509998,47807900,270.739105,268.538422,8719700,,,
7/11/08,4.62,4.79,7800,33.380001,33.16,71316700,266.516571,265.175293,10027500,,,
7/14/08,4.9,4.57,10600,34.189999,31.690001,50370200,267.758484,259.124634,8907100,,,
7/15/08,4.58,4.7,5.00E+03,30.73,31.02,88717800,256.471893,256.377502,12220900,,,
7/16/08,4.6,4.82,2900,32.299999,35.939999,79957800,255.359131,266.069489,9545900,,,
7/17/08,4.7,4.6,8.00E+03,38.049999,40.799999,132114600,265.354126,264.99646,17688900,,,
